2024-06-30 14:56:37 status half-installed gzip:amd64 1.10-4+deb11u1
2024-06-30 14:56:37 status unpacked gzip:amd64 1.10-4+deb11u1
2024-06-30 14:56:37 install hostname:amd64 <none> 3.23
2024-06-30 14:56:37 status half-installed hostname:amd64 3.23
2024-06-30 14:56:37 status unpacked hostname:amd64 3.23
2024-06-30 14:56:37 install init-system-helpers:all <none> 1.60
2024-06-30 14:56:37 status half-installed init-system-helpers:all 1.60
2024-06-30 14:56:37 status unpacked init-system-helpers:all 1.60
2024-06-30 14:56:37 install libacl1:amd64 <none> 2.2.53-10
2024-06-30 14:56:37 status half-installed libacl1:amd64 2.2.53-10
2024-06-30 14:56:37 status unpacked libacl1:amd64 2.2.53-10
2024-06-30 14:56:37 install libapt-pkg6.0:amd64 <none> 2.2.4
2024-06-30 14:56:37 status half-installed libapt-pkg6.0:amd64 2.2.4
2024-06-30 14:56:37 status unpacked libapt-pkg6.0:amd64 2.2.4
2024-06-30 14:56:37 install libattr1:amd64 <none> 1:2.4.48-6
2024-06-30 14:56:37 status half-installed libattr1:amd64 1:2.4.48-6
2024-06-30 14:56:37 status unpacked libattr1:amd64 1:2.4.48-6
2024-06-30 14:56:37 install libaudit-common:all <none> 1:3.0-2
2024-06-30 14:56:37 status half-installed libaudit-common:all 1:3.0-2
2024-06-30 14:56:37 status unpacked libaudit-common:all 1:3.0-2
2024-06-30 14:56:37 install libaudit1:amd64 <none> 1:3.0-2
2024-06-30 14:56:37 status half-installed libaudit1:amd64 1:3.0-2
2024-06-30 14:56:37 status unpacked libaudit1:amd64 1:3.0-2
2024-06-30 14:56:37 install libblkid1:amd64 <none> 2.36.1-8+deb11u2
2024-06-30 14:56:37 status half-installed libblkid1:amd64 2.36.1-8+deb11u2
2024-06-30 14:56:37 status unpacked libblkid1:amd64 2.36.1-8+deb11u2
2024-06-30 14:56:37 install libbz2-1.0:amd64 <none> 1.0.8-4
2024-06-30 14:56:37 status half-installed libbz2-1.0:amd64 1.0.8-4
2024-06-30 14:56:37 status unpacked libbz2-1.0:amd64 1.0.8-4
2024-06-30 14:56:37 install libc-bin:amd64 <none> 2.31-13+deb11u10
2024-06-30 14:56:37 status half-installed libc-bin:amd64 2.31-13+deb11u10
2024-06-30 14:56:37 status unpacked libc-bin:amd64 2.31-13+deb11u10
2024-06-30 14:56:37 upgrade libc6:amd64 2.31-13+deb11u10 2.31-13+deb11u10
2024-06-30 14:56:37 status half-configured libc6:amd64 2.31-13+deb11u10
2024-06-30 14:56:37 status unpacked libc6:amd64 2.31-13+deb11u10
2024-06-30 14:56:37 status half-installed libc6:amd64 2.31-13+deb11u10
2024-06-30 14:56:38 status unpacked libc6:amd64 2.31-13+deb11u10
2024-06-30 14:56:38 install libcap-ng0:amd64 <none> 0.7.9-2.2+b1
2024-06-30 14:56:38 status half-installed libcap-ng0:amd64 0.7.9-2.2+b1
2024-06-30 14:56:38 status unpacked libcap-ng0:amd64 0.7.9-2.2+b1
2024-06-30 14:56:38 install libcom-err2:amd64 <none> 1.46.2-2
2024-06-30 14:56:38 status half-installed libcom-err2:amd64 1.46.2-2
2024-06-30 14:56:38 status unpacked libcom-err2:amd64 1.46.2-2
2024-06-30 14:56:38 install libcrypt1:amd64 <none> 1:4.4.18-4
2024-06-30 14:56:38 status half-installed libcrypt1:amd64 1:4.4.18-4
2024-06-30 14:56:38 status unpacked libcrypt1:amd64 1:4.4.18-4
2024-06-30 14:56:38 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.8
2024-06-30 14:56:38 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.8
2024-06-30 14:56:38 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.8
2024-06-30 14:56:38 install libdebconfclient0:amd64 <none> 0.260
2024-06-30 14:56:38 status half-installed libdebconfclient0:amd64 0.260
2024-06-30 14:56:38 status unpacked libdebconfclient0:amd64 0.260
2024-06-30 14:56:38 install libext2fs2:amd64 <none> 1.46.2-2
2024-06-30 14:56:38 status half-installed libext2fs2:amd64 1.46.2-2
2024-06-30 14:56:38 status unpacked libext2fs2:amd64 1.46.2-2
2024-06-30 14:56:38 install libffi7:amd64 <none> 3.3-6
2024-06-30 14:56:38 status half-installed libffi7:amd64 3.3-6
2024-06-30 14:56:38 status unpacked libffi7:amd64 3.3-6
2024-06-30 14:56:38 install libgcc-s1:amd64 <none> 10.2.1-6
2024-06-30 14:56:38 status half-installed libgcc-s1:amd64 10.2.1-6
2024-06-30 14:56:38 status unpacked libgcc-s1:amd64 10.2.1-6
2024-06-30 14:56:38 install libgcrypt20:amd64 <none> 1.8.7-6
2024-06-30 14:56:38 status half-installed libgcrypt20:amd64 1.8.7-6
2024-06-30 14:56:38 status unpacked libgcrypt20:amd64 1.8.7-6
2024-06-30 14:56:38 install libgmp10:amd64 <none> 2:6.2.1+dfsg-1+deb11u1
2024-06-30 14:56:38 status half-installed libgmp10:amd64 2:6.2.1+dfsg-1+deb11u1
2024-06-30 14:56:38 status unpacked libgmp10:amd64 2:6.2.1+dfsg-1+deb11u1
