2024-06-30 16:21:51 status half-configured base-files:amd64 11.1+deb11u10
2024-06-30 16:21:51 status unpacked base-files:amd64 11.1+deb11u10
2024-06-30 16:21:51 status half-installed base-files:amd64 11.1+deb11u10
2024-06-30 16:21:51 status unpacked base-files:amd64 11.1+deb11u10
2024-06-30 16:21:51 upgrade base-passwd:amd64 3.5.51 3.5.51
2024-06-30 16:21:51 status half-configured base-passwd:amd64 3.5.51
2024-06-30 16:21:51 status unpacked base-passwd:amd64 3.5.51
2024-06-30 16:21:51 status half-installed base-passwd:amd64 3.5.51
2024-06-30 16:21:51 status unpacked base-passwd:amd64 3.5.51
2024-06-30 16:21:51 install bash:amd64 <none> 5.1-2+deb11u1
2024-06-30 16:21:51 status half-installed bash:amd64 5.1-2+deb11u1
2024-06-30 16:21:51 status unpacked bash:amd64 5.1-2+deb11u1
2024-06-30 16:21:51 install bsdutils:amd64 <none> 1:2.36.1-8+deb11u2
2024-06-30 16:21:51 status half-installed bsdutils:amd64 1:2.36.1-8+deb11u2
2024-06-30 16:21:51 status unpacked bsdutils:amd64 1:2.36.1-8+deb11u2
2024-06-30 16:21:51 install coreutils:amd64 <none> 8.32-4+b1
2024-06-30 16:21:51 status half-installed coreutils:amd64 8.32-4+b1
2024-06-30 16:21:51 status unpacked coreutils:amd64 8.32-4+b1
2024-06-30 16:21:51 install dash:amd64 <none> 0.5.11+git20200708+dd9ef66-5
2024-06-30 16:21:51 status half-installed dash:amd64 0.5.11+git20200708+dd9ef66-5
2024-06-30 16:21:51 status unpacked dash:amd64 0.5.11+git20200708+dd9ef66-5
2024-06-30 16:21:51 upgrade debconf:all 1.5.77 1.5.77
2024-06-30 16:21:51 status half-configured debconf:all 1.5.77
2024-06-30 16:21:51 status unpacked debconf:all 1.5.77
2024-06-30 16:21:51 status half-installed debconf:all 1.5.77
2024-06-30 16:21:51 status unpacked debconf:all 1.5.77
2024-06-30 16:21:51 install debian-archive-keyring:all <none> 2021.1.1+deb11u1
2024-06-30 16:21:51 status half-installed debian-archive-keyring:all 2021.1.1+deb11u1
2024-06-30 16:21:52 status unpacked debian-archive-keyring:all 2021.1.1+deb11u1
2024-06-30 16:21:52 install debianutils:amd64 <none> 4.11.2
2024-06-30 16:21:52 status half-installed debianutils:amd64 4.11.2
2024-06-30 16:21:52 status unpacked debianutils:amd64 4.11.2
2024-06-30 16:21:52 install diffutils:amd64 <none> 1:3.7-5
2024-06-30 16:21:52 status half-installed diffutils:amd64 1:3.7-5
2024-06-30 16:21:52 status unpacked diffutils:amd64 1:3.7-5
2024-06-30 16:21:52 upgrade dpkg:amd64 1.20.13 1.20.13
2024-06-30 16:21:52 status half-configured dpkg:amd64 1.20.13
2024-06-30 16:21:52 status unpacked dpkg:amd64 1.20.13
2024-06-30 16:21:52 status half-installed dpkg:amd64 1.20.13
2024-06-30 16:21:52 status unpacked dpkg:amd64 1.20.13
2024-06-30 16:21:52 install e2fsprogs:amd64 <none> 1.46.2-2
2024-06-30 16:21:52 status half-installed e2fsprogs:amd64 1.46.2-2
2024-06-30 16:21:52 status unpacked e2fsprogs:amd64 1.46.2-2
2024-06-30 16:21:52 install findutils:amd64 <none> 4.8.0-1
2024-06-30 16:21:52 status half-installed findutils:amd64 4.8.0-1
2024-06-30 16:21:52 status unpacked findutils:amd64 4.8.0-1
2024-06-30 16:21:52 install gcc-10-base:amd64 <none> 10.2.1-6
2024-06-30 16:21:52 status half-installed gcc-10-base:amd64 10.2.1-6
2024-06-30 16:21:52 status unpacked gcc-10-base:amd64 10.2.1-6
2024-06-30 16:21:52 install gcc-9-base:amd64 <none> 9.3.0-22
2024-06-30 16:21:52 status half-installed gcc-9-base:amd64 9.3.0-22
2024-06-30 16:21:52 status unpacked gcc-9-base:amd64 9.3.0-22
2024-06-30 16:21:52 install gpgv:amd64 <none> 2.2.27-2+deb11u2
2024-06-30 16:21:52 status half-installed gpgv:amd64 2.2.27-2+deb11u2
2024-06-30 16:21:52 status unpacked gpgv:amd64 2.2.27-2+deb11u2
2024-06-30 16:21:52 install grep:amd64 <none> 3.6-1+deb11u1
2024-06-30 16:21:52 status half-installed grep:amd64 3.6-1+deb11u1
2024-06-30 16:21:52 status unpacked grep:amd64 3.6-1+deb11u1
2024-06-30 16:21:52 install gzip:amd64 <none> 1.10-4+deb11u1
2024-06-30 16:21:52 status half-installed gzip:amd64 1.10-4+deb11u1
2024-06-30 16:21:52 status unpacked gzip:amd64 1.10-4+deb11u1
2024-06-30 16:21:52 install hostname:amd64 <none> 3.23
2024-06-30 16:21:52 status half-installed hostname:amd64 3.23
2024-06-30 16:21:52 status unpacked hostname:amd64 3.23
2024-06-30 16:21:52 install init-system-helpers:all <none> 1.60
2024-06-30 16:21:52 status half-installed init-system-helpers:all 1.60
2024-06-30 16:21:52 status unpacked init-system-helpers:all 1.60
2024-06-30 16:21:52 install libacl1:amd64 <none> 2.2.53-10
2024-06-30 16:21:52 status half-installed libacl1:amd64 2.2.53-10
2024-06-30 16:21:52 status unpacked libacl1:amd64 2.2.53-10
2024-06-30 16:21:52 install libapt-pkg6.0:amd64 <none> 2.2.4
2024-06-30 16:21:52 status half-installed libapt-pkg6.0:amd64 2.2.4
2024-06-30 16:21:53 status unpacked libapt-pkg6.0:amd64 2.2.4
2024-06-30 16:21:53 install libattr1:amd64 <none> 1:2.4.48-6
2024-06-30 16:21:53 status half-installed libattr1:amd64 1:2.4.48-6
2024-06-30 16:21:53 status unpacked libattr1:amd64 1:2.4.48-6
2024-06-30 16:21:53 install libaudit-common:all <none> 1:3.0-2
2024-06-30 16:21:53 status half-installed libaudit-common:all 1:3.0-2
2024-06-30 16:21:53 status unpacked libaudit-common:all 1:3.0-2
2024-06-30 16:21:53 install libaudit1:amd64 <none> 1:3.0-2
2024-06-30 16:21:53 status half-installed libaudit1:amd64 1:3.0-2
2024-06-30 16:21:53 status unpacked libaudit1:amd64 1:3.0-2
2024-06-30 16:21:53 install libblkid1:amd64 <none> 2.36.1-8+deb11u2
2024-06-30 16:21:53 status half-installed libblkid1:amd64 2.36.1-8+deb11u2
2024-06-30 16:21:53 status unpacked libblkid1:amd64 2.36.1-8+deb11u2
2024-06-30 16:21:53 install libbz2-1.0:amd64 <none> 1.0.8-4
2024-06-30 16:21:53 status half-installed libbz2-1.0:amd64 1.0.8-4
2024-06-30 16:21:53 status unpacked libbz2-1.0:amd64 1.0.8-4
2024-06-30 16:21:53 install libc-bin:amd64 <none> 2.31-13+deb11u10
2024-06-30 16:21:53 status half-installed libc-bin:amd64 2.31-13+deb11u10
2024-06-30 16:21:53 status unpacked libc-bin:amd64 2.31-13+deb11u10
2024-06-30 16:21:53 upgrade libc6:amd64 2.31-13+deb11u10 2.31-13+deb11u10
2024-06-30 16:21:53 status half-configured libc6:amd64 2.31-13+deb11u10
2024-06-30 16:21:53 status unpacked libc6:amd64 2.31-13+deb11u10
2024-06-30 16:21:53 status half-installed libc6:amd64 2.31-13+deb11u10
2024-06-30 16:21:53 status unpacked libc6:amd64 2.31-13+deb11u10
2024-06-30 16:21:53 install libcap-ng0:amd64 <none> 0.7.9-2.2+b1
2024-06-30 16:21:53 status half-installed libcap-ng0:amd64 0.7.9-2.2+b1
2024-06-30 16:21:53 status unpacked libcap-ng0:amd64 0.7.9-2.2+b1
2024-06-30 16:21:53 install libcom-err2:amd64 <none> 1.46.2-2
2024-06-30 16:21:53 status half-installed libcom-err2:amd64 1.46.2-2
2024-06-30 16:21:53 status unpacked libcom-err2:amd64 1.46.2-2
2024-06-30 16:21:53 install libcrypt1:amd64 <none> 1:4.4.18-4
2024-06-30 16:21:53 status half-installed libcrypt1:amd64 1:4.4.18-4
2024-06-30 16:21:53 status unpacked libcrypt1:amd64 1:4.4.18-4
